1591,1614,1636,1255,1658,1389,1412,1793,874,1569,1389,1322,1412,1345,1389,1322,1972,1726,1188,717,1905,1524,1726,1076,1703,1614,1188,1457,1277,1636,1345,2219,874,1726,1322,1569,1210,1883,1255,1345,963,1860,1681,1636,1210,1927,1255,1120,1927,1501,1389,1524,1277,1703,941,1770,1345,1524,1479,1232,1905,2039,1031,1457
1569,1098,1277,1927,1546,627,1300,986,1322,1995,1300,1860,1367,1726,1098,1838,807,1345,1479,2107,1300,1501,470,1860,1300,1277,1300,1501,1479,1412,1883,313,2241,1165,1367,1681,1972,1008,2286,1927,1501,1210,1143,1479,1748,829,2757,1569,829,1389,1412,1995,1232,1008,2376,1300,1188,1591,1076,1277,807,1860,1950,1726
1367,1210,1838,1479,919,1389,1524,1546,2129,1008,1300,627,1815,1277,1367,1076,2196,1457,1748,1098,1815,1434,2152,874,1950,1143,1591,1995,1277,1546,1165,2533,1098,1927,1591,1479,1546,1681,1658,1457,1120,1838,1793,717,1389,2309,201,2533,1479,1950,1367,1501,2062,1188,762,2622,1569,582,2152,1658,1681,313,1770,1389
1972,1120,2152,515,1255,1703,1860,2152,874,1569,1232,2533,1210,1322,1255,2241,560,1479,1210,1905,1210,1726,1165,1972,1165,2017,1546,1322,1591,1143,2017,1210,1995,1053,1636,1838,1008,1345,1188,1412,2107,896,1457,1815,1300,1614,2174,0,1950,1232,2152,694,1793,1950,1345,672,2174,2264,605,1591,1681,2129,1031,1300
1300,1098,694,1614,1927,1726,1905,560,1322,1614,1793,1412,1389,1479,2264,650,1972,1277,2376,1076,1927,919,2039,941,2039,963,1681,1434,1076,1815,1255,1770,1457,1546,851,1098,1457,1591,1389,1479,1367,1501,1793,1120,1815,1210,2286,2107,650,2107,829,1726,941,1681,1927,1658,1322,1322,1883,425,1703,1232,2465,1143
1143,1143,2353,1860,829,1636,515,1950,1658,1793,1232,1614,1681,1793,627,1703,1277,1726,515,1860,672,1995,1143,2039,829,1636,1165,1345,1569,1591,1681,1277,1300,2129,1120,1591,1098,1546,1546,1860,1143,2084,1053,2196,1143,2331,246,2174,1569,807,2353,919,2219,1188,919,1972,1053,1995,1322,1412,1053,851,1838,1793
1591,1838,1501,1076,1815,1255,2039,1726,1703,739,1636,1165,1838,851,1591,874,1703,919,2241,986,1726,1412,1345,1434,2376,986,2129,1210,1232,2107,1255,1703,1591,1232,1412,1412,1703,1345,1389,1457,1546,1076,1815,560,2152,650,2443,694,1770,1883,851,1905,919,1770,1860,381,2465,1434,2264,1210,1277,1457,829,1927
1591,1300,1300,1815,1210,1770,1300,2039,829,2421,896,2376,829,2062,1300,1950,1232,2219,829,2084,941,1569,1255,1860,1300,2421,1008,2062,1434,941,1748,1076,1681,1636,1300,2084,694,1434,1165,1703,1053,1927,1277,2219,515,2465,874,1793,1210,1076,1995,1524,1322,1457,1479,1905,403,1658,1255,2376,1031,1210,1120,1614
1412,1569,2062,963,1905,1120,1614,717,2107,1120,2914,1457,2847,2219,3385,2062,2847,1569,2891,2039,2174,1658,1591,1524,1479,1120,1546,1053,1793,1569,1143,1546,1457,1367,1457,1098,2421,694,2039,1210,2062,1501,2062,1770,2779,2062,3003,2039,2712,2174,1569,2152,1838,941,1569,1681,2084,874,1367,1053,2376,1076,1300,1300
1367,1389,1367,1120,2174,1367,1322,1726,963,3362,1546,3048,1770,3138,1927,3093,1905,2757,2712,2286,2465,2555,2600,2443,1838,1927,1143,1905,986,1883,1412,1591,1232,1367,1479,1770,919,2533,1389,2600,2398,2734,2353,2847,2196,2690,2421,3317,2286,3295,2645,1972,3272,2376,1703,1658,2196,1950,1569,1457,605,2264,1479,1389
