16,16,17,16,17,16,16,16,16,16,15,15,15,15,14,15,14,15,14,13,14,13,13,13,13,13,13,12,13,12,11,12,11,12,11,11,11,11,10,10,10,10,10,9,10,9,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10,11,11,11,11,12,11,12,11,12,13,12,13,13,13,13,13,13,14,14,14,15,14,15,14,15,15,15,15,16,16,16,16,16,17,16,17,16,16
16,16,17,17,17,17,16,16,16,16,16,15,15,16,15,15,14,14,15,14,14,14,13,14,13,13,13,12,13,13,12,12,11,12,12,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,12,12,11,12,12,13,13,12,13,13,13,14,13,14,14,14,15,14,14,15,15,16,15,15,16,16,16,16,16,17,17,17,17,16,16
17,17,16,17,18,18,18,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,18,18,18,17,16,17,17
16,17,17,16,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,16,17,17,16
17,17,18,17,18,18,18,18,17,18,18,17,17,16,17,17,16,16,15,15,16,15,15,14,14,15,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,10,10,10,10,10,11,11,12,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,15,14,14,15,15,16,15,15,16,16,17,17,16,17,17,18,18,17,18,18,18,18,17,18,17,17
16,17,18,17,18,18,18,19,18,18,18,17,18,17,17,17,16,17,16,16,16,15,16,15,15,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,16,15,16,16,16,17,16,17,17,17,18,17,18,18,18,19,18,18,18,17,18,17,16
16,16,18,17,18,18,18,19,19,19,19,18,18,18,18,18,17,17,16,17,17,16,16,15,15,16,15,15,14,14,15,14,14,13,13,13,13,13,12,12,12,11,12,11,11,11,10,10,10,10,10,10,10,10,11,11,11,12,11,12,12,12,13,13,13,13,13,14,14,15,14,14,15,15,16,15,15,16,16,17,17,16,17,17,18,18,18,18,18,19,19,19,19,18,18,18,17,18,16,16
16,16,17,17,18,19,19,18,19,19,19,19,18,18,18,18,18,18,17,17,17,17,17,17,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,12,11,11,11,11,11,10,10,10,10,10,10,11,11,11,11,11,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,16,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,18,19,19,18,17,17,16,16
16,16,17,17,17,18,19,19,20,20,20,20,20,19,19,19,18,18,18,17,17,17,17,16,17,17,16,16,16,15,15,15,14,14,14,14,13,13,13,12,12,13,12,12,12,12,11,11,11,10,10,11,11,11,12,12,12,12,13,12,12,13,13,13,14,14,14,14,15,15,15,16,16,16,17,17,16,17,17,17,17,18,18,18,19,19,19,20,20,20,20,20,19,19,18,17,17,17,16,16
16,16,17,17,18,18,19,19,20,20,20,20,20,20,19,20,19,19,19,18,18,17,18,17,17,17,16,16,16,16,15,16,15,15,14,14,14,13,14,13,13,13,12,12,11,12,11,11,11,11,11,11,11,11,12,11,12,13,13,13,13,14,13,14,14,14,15,15,16,15,16,16,16,16,17,17,17,18,17,18,18,19,19,19,20,19,20,20,20,20,20,20,19,19,18,18,17,17,16,16
15,16,17,16,18,18,19,19,20,20,20,21,21,21,20,20,19,19,20,19,19,18,18,17,18,18,17,17,16,16,16,16,15,15,15,14,15,14,14,13,13,13,13,13,12,12,11,11,11,11,11,11,12,11,12,12,13,13,13,13,13,14,14,15,15,15,15,15,16,16,16,16,17,17,18,18,17,18,18,19,19,20,19,19,20,20,21,21,21,20,20,20,19,19,18,18,16,17,16,15
15,15,17,16,17,17,18,19,20,20,21,20,21,21,21,21,21,20,20,20,20,19,19,18,18,18,18,18,18,16,16,16,16,16,15,15,15,15,14,14,14,13,13,13,13,13,12,11,11,11,11,11,11,11,13,13,13,13,13,13,14,14,15,15,15,15,16,16,16,16,16,18,18,18,18,18,18,19,19,20,20,20,20,21,21,21,21,21,20,21,20,20,19,18,17,17,16,17,15,15
15,15,16,16,17,18,18,18,20,20,21,21,22,22,22,22,21,21,20,20,21,20,20,19,19,18,18,18,18,18,17,17,17,16,16,15,15,15,15,15,14,14,13,13,13,13,13,12,12,11,11,12,12,13,13,13,13,13,14,14,15,15,15,15,15,16,16,17,17,17,18,18,18,18,18,19,19,20,20,21,20,20,21,21,22,22,22,22,21,21,20,20,18,18,18,17,16,16,15,15
15,16,16,16,16,17,18,18,19,20,21,21,22,22,22,23,22,22,22,21,21,20,21,20,20,19,19,19,18,18,18,17,17,17,17,16,16,16,15,15,14,15,14,13,13,13,13,12,12,12,12,12,12,13,13,13,13,14,15,14,15,15,16,16,16,17,17,17,17,18,18,18,19,19,19,20,20,21,20,21,21,22,22,22,23,22,22,22,21,21,20,19,18,18,17,16,16,16,16,15
14,15,16,16,17,17,18,18,19,19,20,21,22,22,22,23,23,22,22,22,22,21,21,21,21,20,20,20,20,18,18,18,17,17,17,17,16,16,16,16,15,15,15,14,13,13,13,13,12,12,12,12,13,13,13,13,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,20,20,20,20,21,21,21,21,22,22,22,22,23,23,22,22,22,21,20,19,19,18,18,17,17,16,16,15,14
15,15,16,15,17,17,18,18,19,20,20,21,22,23,23,24,24,24,24,23,23,22,22,22,21,21,20,20,20,20,20,19,19,18,18,17,17,17,16,16,15,15,15,15,15,14,14,13,13,12,12,13,13,14,14,15,15,14,15,15,16,16,17,17,17,18,18,19,19,20,20,20,20,20,21,21,22,22,22,23,23,24,24,24,24,23,23,22,21,20,20,19,18,18,17,17,15,16,15,15
14,14,16,15,16,16,17,18,18,19,19,21,21,22,23,24,24,24,25,24,24,23,22,23,22,22,21,21,21,20,20,19,19,19,19,18,17,17,17,17,16,16,15,15,15,14,14,13,14,13,13,14,13,14,14,15,15,15,16,16,17,17,17,17,18,19,19,19,19,20,20,21,21,21,22,22,23,22,23,24,24,25,24,24,24,23,22,21,21,19,19,18,18,17,16,16,15,16,14,14
15,14,15,15,16,17,17,18,18,19,19,20,21,22,22,24,24,24,25,25,25,25,24,23,23,23,23,22,21,21,21,21,20,19,19,19,19,18,17,17,17,17,16,15,15,15,15,14,13,13,13,13,14,15,15,15,15,16,17,17,17,17,18,19,19,19,19,20,21,21,21,21,22,23,23,23,23,24,25,25,25,25,24,24,24,22,22,21,20,19,19,18,18,17,17,16,15,15,14,15
