14329,36012,31903,37956,31473,16839,47021,6963,31532,33520,33805,31525,37004,31457,28319,31959,48326,31570,21646,31430,39890,26710,31456,25181,31543
21445,9995,36043,31903,31026,41574,2220,42859,21881,31487,33857,33825,31534,28349,28639,28373,29969,65235,31472,21555,10451,30712,26768,31490,41890
34777,21411,9967,36113,55150,39300,41560,22384,40852,23768,31496,33861,21265,31564,28330,30603,21253,39777,54823,31429,21560,1924,30643,8433,45803
31449,17288,21486,0,36133,949,52429,26807,22457,40742,18220,44978,33846,21334,43527,7075,30625,21230,39730,45495,31523,21541,2097,17909,31515
34079,48903,17396,21404,119,36050,963,22532,26849,25951,40735,39870,45049,21920,44731,43513,12951,30634,21313,39729,63839,17190,30382,19243,31428
35957,34062,48958,24243,13281,24732,36065,943,35124,26914,29018,40735,39831,8009,21969,44799,52650,10864,12739,21963,39612,38529,17274,35955,36961
16074,36024,27581,25651,50710,13268,28295,35776,20058,47648,26378,29052,49497,39748,28987,21873,44798,54307,22904,12772,26441,39455,38465,31433,34197
33664,16073,35979,42291,25744,50809,13271,24853,22382,22963,47722,52512,28912,49541,39728,29030,27971,44833,41470,43742,22397,27261,41036,50500,31462
39170,33678,26092,36068,29230,52112,50850,40043,24966,22426,21182,45359,52582,27828,32749,27633,54446,14378,44736,26575,31134,22332,8602,41099,38976
37840,38713,33653,38297,36053,27314,33075,29217,39918,26763,32794,19016,45357,45938,19042,28244,27658,28687,37431,38884,26586,32843,7574,8564,36311
43142,37851,38648,33705,36421,36107,35949,16198,24639,34053,36089,50560,19059,40918,38670,44766,17696,27687,31558,48846,35989,26528,40459,11213,28987
25714,43201,27882,18434,33609,36460,36063,40498,20900,36423,34137,13069,29729,19250,21723,38680,44666,32435,16877,31912,47488,33241,29693,39650,23700
39065,25657,43268,29693,18420,33597,36448,36001,40410,33643,36446,34068,32268,42988,19326,24027,38716,39000,14850,16677,32056,47442,33355,44461,29845
45405,39074,29848,30716,29557,18395,35800,36536,35940,22644,33655,36480,28083,37160,46334,19285,23927,26359,38977,6188,26379,32094,47415,28229,17282
20580,45518,39066,29799,30790,29529,28813,26145,30057,34144,33339,33709,36510,28076,34630,32045,19270,27236,31188,50401,5334,32217,32171,33660,25434
32083,35338,18668,29238,28075,32419,35417,34790,26041,31803,34063,37373,26002,36500,43777,35561,32034,33013,13041,26972,50460,5761,20443,32219,63302
26988,29790,29192,32953,34529,27681,33274,39663,31402,25956,26181,34135,41536,25929,48371,14171,29169,32111,33024,13042,33888,24774,31449,12839,32171
34634,33294,30376,29256,31320,37327,27219,33638,39712,24616,33538,57988,34313,41614,25852,48411,14113,29874,31449,14610,31449,27360,31449,31449,13397
14750,37522,30725,31609,37251,27199,41931,31487,24714,48294,43240,49163,10230,42455,26779,14144,34163,31672,31094,32000,11457,38303,31449,22504,31449
37572,30675,31639,31848,27363,34362,31338,32052,31350,24672,34673,25982,34002,26755,14108,34232,30257,31138,32012,11349,7913,61570,32082,22029,31409
30638,31665,35693,29668,33834,31352,32110,31385,29934,33011,33591,34048,17608,29982,31461,40886,46381,50421,11512,15318,45821,32106,30333,48569,14373
31682,35731,29711,37266,31395,31912,31295,29928,33028,33584,34005,31470,34989,31471,34178,29706,33378,14210,29210,29911,24766,32934,37876,31401,16206
35707,29656,37110,31350,31823,31291,31589,32999,33557,33996,31441,35087,31445,38390,30055,33325,22940,29304,31475,31461,49679,54944,31347,13422,26686
29541,37188,31291,31562,31461,31557,29017,31479,33995,31408,34972,31475,37915,30069,33386,22966,34689,31499,31429,49711,31561,31365,31891,26621,31457
37188,31368,31501,31415,31521,31488,31410,33838,31417,34944,31554,29470,33235,33892,22995,34698,31500,31468,31000,31496,31515,31443,12675,31372,35698
