4961,38383,38124,38677,38525,39034,37922,38037,38447,38552,37846,38476,38449,38364,38426,39537,39230,38306,38228,38222,37876,38552,38457,38384,38562
50306,5662,38958,38194,38609,38446,38395,38207,37956,38628,38655,38190,38456,38449,38109,38442,39431,38940,38363,38898,38189,38208,38295,38683,37950
45963,50755,5435,39191,38875,38661,38892,38486,37964,38827,38111,38667,38665,38166,38797,38646,37930,39529,38763,38783,39179,37769,37808,38226,38952
51639,45556,50888,5943,39374,38802,39074,38475,38901,37964,38769,38560,38907,39238,38595,38035,14430,38367,39292,38757,38631,38909,37274,37384,38120
45537,51941,45974,50450,5511,39263,39065,37978,38670,63410,37645,39414,39164,38733,39321,39023,38682,14443,38289,38612,38253,38552,38636,42133,37711
32918,45745,51450,45813,51130,0,40510,39648,38095,38262,62859,36997,39058,38678,38539,39126,39023,38682,14637,38289,38612,38488,37034,40267,41926
45707,51741,45262,50625,201,41871,39609,33264,38789,62729,36123,38507,38723,39627,39855,39590,38811,15091,38743,37835,38121,36625,39761,42044,38735
51779,45120,49867,679,42394,39804,33134,37973,62697,35346,38770,37972,38819,29305,40426,38968,14480,38965,43054,37702,37023,39168,41676,38670,38020
44796,49342,540,42419,40523,32551,34274,63280,35356,51782,37680,38884,28949,40446,38703,14869,39888,42713,37616,36610,39546,52645,39390,37659,38006
49395,683,42691,40523,33324,34274,63561,35895,52397,37590,39273,28424,50868,39540,15105,40413,42696,37151,36491,39557,52179,40038,38468,37725,37773
548,42977,40329,25958,33433,63820,34155,52785,38119,39192,28424,50338,38226,15340,40462,42877,37002,37113,39676,51823,40288,38533,38173,38472,38435
42034,40297,26144,33384,64148,34264,52403,8401,39298,27939,50533,38257,14727,40948,43337,36885,37030,40118,51545,29939,24586,38824,38244,39083,38920
40161,26338,33075,64610,34594,52792,9206,39371,27721,50079,38363,13528,41285,43416,37372,36329,40174,52058,29473,22943,39227,38757,39180,38718,38392
25907,33243,65235,34773,51820,8536,40073,27769,49978,38801,13366,41091,43630,37244,35913,39305,51677,30629,23246,39272,38807,39792,39829,37528,37432
32893,64571,34643,51743,9148,39784,44521,50566,38883,13943,41688,43806,37244,36183,39320,51063,30943,23162,39646,39137,39248,40150,37759,39562,39056
64084,34507,51711,8869,39153,44800,50084,38699,14432,41364,43106,38091,36878,40454,51705,31863,38816,39657,39075,39928,40287,36787,39908,39685,41052
35139,51787,8525,57866,44198,49705,38648,13849,41336,42858,37529,37097,40482,52606,47232,39205,39133,39013,39712,40356,37002,39325,39051,41149,37212
51870,8768,58384,44327,49964,38745,13947,40987,42032,37497,37113,40150,52846,47038,39172,38993,39414,39680,40306,37430,40199,37973,41343,37158,38648
8231,59623,43436,50320,38745,13577,41115,41575,37175,37558,39484,53391,47564,39372,38303,39314,36958,39885,39288,39115,37589,40654,37838,38509,38301
59348,43329,51094,39019,13741,41222,41033,36624,37576,39442,37503,46841,38750,37856,38298,36289,39723,39067,39374,37930,40201,38048,38646,23382,37919
43669,50564,39157,12810,41263,41102,36722,38260,39421,37697,56809,38459,38074,37594,36523,39373,38500,39342,37725,40706,38540,36818,23304,37892,37794
50953,38395,12749,41263,41361,36461,37899,39339,36876,57236,38532,38196,38298,36834,39322,38780,39886,38812,40554,38281,38976,37610,38444,37795,37948
38637,12599,40769,40577,36364,37919,38927,37188,57323,38532,38254,38648,36524,39093,38292,39562,37669,40302,37754,39283,37770,38710,37693,37973,38605
12615,41352,40447,37065,37916,38495,37606,57681,38379,37803,38443,36600,39541,39295,46502,38330,40302,38033,39108,38131,38599,37230,38138,38470,37834
41676,40155,37907,37926,37887,37414,37664,38205,38296,38470,36526,38465,39399,37506,38271,39400,38324,38659,38131,38864,37376,38311,38297,37719,38302
