0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0
0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,1,0,0,0,0
0,0,0,1,5,6,6,6,6,6,6,6,4,1,0,0,0,1,5,6,6,6,6,6,6,6,6,6,1,0,0,0
0,0,0,5,6,6,6,6,6,6,6,6,6,6,4,2,4,6,6,6,6,6,7,7,7,7,6,6,5,0,0,0
0,0,3,6,6,7,7,7,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,7,7,6,6,6,6,3,0,0
0,1,6,6,6,6,6,7,7,7,7,7,8,8,8,7,8,8,8,8,7,7,7,7,7,6,6,6,6,6,1,0
0,4,7,7,7,7,7,8,7,7,7,7,7,8,7,7,7,6,6,7,5,5,7,7,7,7,7,6,6,6,4,0
0,6,7,7,7,5,4,4,3,4,6,6,6,7,6,1,1,1,1,1,1,1,1,1,2,3,5,7,7,7,6,0
2,8,8,4,1,0,0,0,0,0,0,2,6,6,6,4,1,1,1,1,2,1,1,1,1,1,1,3,8,8,7,2
4,8,3,1,0,0,0,0,0,0,0,0,5,9,9,7,5,1,1,1,5,1,1,1,1,1,1,1,2,7,7,4
5,2,1,1,0,0,0,0,0,0,0,1,9,10,10,9,7,6,1,1,2,4,1,1,1,2,1,1,1,2,7,5
5,1,1,1,1,0,0,0,1,1,2,2,9,10,10,10,8,9,7,1,1,4,1,1,1,1,1,1,0,1,9,6
5,1,1,1,1,1,1,0,1,1,2,5,8,10,10,9,9,9,9,3,1,1,1,4,1,1,2,1,1,1,10,7
5,1,1,1,1,1,1,1,1,1,4,7,13,10,8,8,9,9,9,7,1,2,1,7,1,1,1,1,1,1,5,7
5,1,1,1,1,1,1,1,1,1,5,7,11,11,9,9,9,9,9,9,7,9,6,3,4,3,1,1,1,1,4,6
2,1,0,1,1,1,1,1,1,2,6,9,9,9,9,9,9,9,9,10,9,9,6,1,1,1,1,1,1,1,6,5
1,1,0,0,1,1,2,1,1,6,9,9,9,4,6,8,6,4,9,9,9,9,4,2,1,1,1,1,1,1,7,4
3,1,1,1,1,1,1,1,1,5,7,6,5,2,6,7,6,5,8,8,8,7,2,2,3,2,1,1,1,4,7,2
0,4,1,0,1,3,2,1,1,2,3,4,2,2,8,9,8,10,10,5,1,1,1,1,1,1,1,1,1,9,7,0
0,4,1,1,1,1,3,1,1,1,2,1,1,4,8,8,9,10,10,6,1,1,1,1,1,1,1,1,4,9,4,0
0,1,3,1,1,1,1,1,2,1,1,1,1,5,8,8,10,8,8,2,1,1,1,1,1,1,1,1,8,7,1,0
0,0,4,1,1,1,1,1,1,1,1,1,2,8,8,8,10,9,3,1,1,2,1,1,1,1,1,7,8,4,0,0
0,0,0,5,1,1,2,1,1,1,1,1,5,9,9,8,9,10,8,4,1,2,1,1,1,2,7,8,6,0,0,0
0,0,0,2,6,1,2,1,1,1,2,6,9,8,10,11,11,9,8,10,8,6,4,3,5,9,8,6,1,0,0,0
0,0,0,0,2,7,3,1,2,4,8,9,8,8,8,8,7,7,8,8,9,9,9,9,8,8,7,1,0,0,0,0
0,0,0,0,0,1,8,9,10,9,9,8,8,7,7,8,8,7,7,7,7,7,7,7,7,6,1,0,0,0,0,0
0,0,0,0,0,0,0,4,7,7,8,7,7,7,7,7,8,7,7,7,7,7,7,6,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,4,6,7,7,7,7,7,6,6,6,6,6,5,4,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
