m,n,pctjeRayos,ECM,tiempo
25,25,710,0.0386101,53250.7
25,25,710,0.0393079,56700.9
25,25,710,0.0485931,52910.6
25,25,710,0.0400192,52467.7
25,25,710,0.0454547,55458
25,25,720,0.0378965,56591
25,25,720,0.044947,53944
25,25,720,0.0370087,57145
25,25,720,0.0350983,55090.7
25,25,720,0.0370623,52732.7
25,25,730,0.044696,54055.9
25,25,730,0.0409626,56248.7
25,25,730,0.0541164,55429.2
25,25,730,0.051846,53882.1
25,25,730,0.0443137,53899.2
25,25,740,0.0406173,56250.9
25,25,740,0.0378407,55896.6
25,25,740,0.0400729,55395.1
25,25,740,0.0428618,58737.4
25,25,740,0.040478,55846.1
25,25,750,0.0356744,56517.9
25,25,750,0.0352838,56698.3
25,25,750,0.0416675,56180.6
25,25,750,0.0523383,59162.6
25,25,750,0.033839,56422.4
25,25,760,0.0566155,60914.7
25,25,760,0.0458671,58253.3
25,25,760,0.0338381,59541.6
25,25,760,0.0424366,55300.3
25,25,760,0.0373959,55402.5
25,25,770,0.0357473,59064.6
25,25,770,0.0393345,60072
25,25,770,0.0402389,60750.3
25,25,770,0.0444341,56577.7
25,25,770,0.0353761,56242.5
25,25,780,0.0408323,57569.7
25,25,780,0.0388239,57417
25,25,780,0.0392929,60051.1
25,25,780,0.0382391,62321.1
25,25,780,0.0382318,59984.9
25,25,790,0.0558861,59179.5
25,25,790,0.053616,57833.4
25,25,790,0.0368073,60684.3
25,25,790,0.0451583,57216.7
25,25,790,0.0405712,59859.9
25,25,800,0.032813,59137.1
25,25,800,0.042811,57024.4
25,25,800,0.0384651,59816.8
25,25,800,0.0443087,58407.4
25,25,800,0.035097,58241.3
25,25,810,0.0432679,59863.4
25,25,810,0.0345242,60242.6
25,25,810,0.0462617,63778.8
25,25,810,0.0431219,63152.8
25,25,810,0.0329542,62742
25,25,820,0.0427053,60134.5
25,25,820,0.046778,59111
25,25,820,0.0361349,61493
25,25,820,0.0393384,62854.1
25,25,820,0.0453428,60449.4
25,25,830,0.0381878,63696.1
25,25,830,0.0539984,63745.1
25,25,830,0.0345413,65147.9
25,25,830,0.0465387,61983
25,25,830,0.0370944,63055.6
25,25,840,0.0390012,60636.4
25,25,840,0.0414654,60288.6
25,25,840,0.0360703,62595.6
25,25,840,0.0481455,64192.9
25,25,840,0.0351032,63555
25,25,850,0.0331221,64852.2
25,25,850,0.0366026,63991.5
25,25,850,0.0336492,64162
25,25,850,0.0396453,62741.3
25,25,850,0.0364994,65861.6
25,25,860,0.03836,61839.3
25,25,860,0.0315064,60379.3
25,25,860,0.0430869,60159.5
25,25,860,0.0352265,60136.4
25,25,860,0.048188,60625.1
25,25,870,0.0470203,65743.5
25,25,870,0.0440112,61026.5
25,25,870,0.0465004,62429.6
25,25,870,0.0514041,61060.6
25,25,870,0.0373946,62203
25,25,880,0.0536098,66989.4
25,25,880,0.0360458,65450.4
25,25,880,0.0491682,62772.2
25,25,880,0.0441206,64317
25,25,880,0.0408479,68306.5
25,25,890,0.0357585,69359.6
25,25,890,0.044824,64868
25,25,890,0.0380678,64467.9
25,25,890,0.04341,68768.4
25,25,890,0.051395,67153.3
25,25,900,0.0313839,67501.2
25,25,900,0.0486963,66358.6
25,25,900,0.0382919,66562.6
25,25,900,0.0389303,64260.3
25,25,900,0.044589,63579.6
25,25,910,0.0349416,64028.4
25,25,910,0.0333185,62890.9
25,25,910,0.0421899,67400.3
25,25,910,0.0321831,67536.5
25,25,910,0.0368049,67221
25,25,920,0.0475546,64968.2
25,25,920,0.0425253,64975.5
25,25,920,0.048278,64908.8
25,25,920,0.0389131,64768.7
25,25,920,0.0389405,68335.3
25,25,930,0.0352893,65876.8
25,25,930,0.0352688,65879.1
25,25,930,0.0533473,68584.5
25,25,930,0.0341026,65603
25,25,930,0.0347138,65071.1
25,25,940,0.0389255,66094.5
25,25,940,0.0482986,66408.4
25,25,940,0.0361906,68013
25,25,940,0.045506,69892.2
25,25,940,0.0370307,64771.1
25,25,950,0.0464257,70744.7
25,25,950,0.0450884,66714.2
25,25,950,0.0310738,70641.8
25,25,950,0.0420876,65798.6
25,25,950,0.0397212,67078.7
25,25,960,0.0578477,67862.9
25,25,960,0.0366865,65910.9
25,25,960,0.0401347,71342.9
25,25,960,0.0378354,71458.9
25,25,960,0.032711,67762.6
25,25,970,0.0327565,71381.7
25,25,970,0.0333239,71654.9
25,25,970,0.0383542,68606.6
25,25,970,0.0371638,68188.3
25,25,970,0.0475975,66669.7
25,25,980,0.0392667,72436.6
25,25,980,0.0380754,72115.9
25,25,980,0.0389783,68699.6
25,25,980,0.0384326,69348
25,25,980,0.036693,71864.2
25,25,990,0.0437387,69429
25,25,990,0.0344894,70596.2
25,25,990,0.0379626,74124.8
25,25,990,0.0482402,73005
25,25,990,0.0401401,72308.2
25,25,1000,0.0462349,71363.7
25,25,1000,0.0419457,68748.2
25,25,1000,0.0359995,68389.4
25,25,1000,0.034615,68412.7
25,25,1000,0.0413389,68358.7
