2491,142,2873,966,-33362,-821,-103,-348,487,-123049,669,1356,-131546,1806,-527,151641,187,1079,-529,109,-50900,-1230,1047,125,3345
96,1519,335,-31886,-306,-286,-2116,384,-121914,-339,1609,-131428,-3309,-132025,285,-1591,152335,966,1200,-886,-1084,-49761,-2373,-148,-442
750,-433,-31903,-618,55168,-891,533,161794,29942,1915,145309,-3944,132174,-3885,-41495,478,80073,185926,2039,1831,119311,-1014,-49199,1220,621
-103,-33453,-1315,55718,-1473,180,161015,29109,1526,145306,-4610,131272,-43863,132395,-1610,-40433,776,80169,186229,1882,2307,117577,-1165,-48647,495
-33113,-1475,57558,-549,702,161036,28572,2501,146878,-4628,132050,-44651,-4904,-43510,132897,-1561,-41065,1063,80680,186323,1075,-429,116333,-208,-49009
-224,-119,92,1692,-24376,28936,1874,49336,-3413,2071,6906,-4493,65204,-4695,-203322,-1939,-746,-34301,1038,81978,58752,510,-490,1603,-684
-666,-871,1466,-24589,27972,2748,49561,-2891,2914,6570,-6564,66056,-169120,64446,-5252,-202884,-2002,975,-33246,2251,83210,57661,927,-789,681
-242,494,-24938,28226,3311,49626,19311,2663,6928,-6091,65544,-168849,85146,-167089,65038,-7318,-203166,-2625,18816,-33240,1320,82957,56171,1134,158
375,-98968,28103,3719,-15759,18265,2124,83082,-5894,65378,14794,85470,99304,87046,20781,63694,-7401,-90268,-3175,19850,-67444,1486,82743,122353,255
-100075,229,3330,-16094,17785,482,83096,-6808,-14100,-41123,-198280,-177672,-34726,7383,52708,-100205,-11876,-7513,-91287,-3732,20244,-68586,1675,772,123058
917,3052,-17652,17074,83964,83313,-6224,-13944,15874,-40581,-47332,39737,79757,-27168,54077,101971,16116,-13155,-7665,-91282,80283,20729,-68374,84,1406
1725,4086,17287,83202,35347,-5742,-13379,-87038,34244,-14428,-7647,-813,-39066,-53375,-58137,40334,35158,-85445,-12879,-8948,34482,82441,18885,6276,255
5266,18628,83214,34570,-7850,-12743,-86041,34653,-35238,-59948,44913,16214,-22266,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
