18110,8222,15575,15357,17313,10504,18726,16553,15647,18907,13184,25862,16046,15937,21262,26622,18472,23362,18943,22058,21406,22710,20392,14742,19595,17531,20392,19523,6990,16263,15901,16480
10214,20030,15394,18219,8439,20465,15973,14198,18328,12496,35605,17132,19197,32382,43067,44298,37344,26369,35098,22747,24123,20682,20030,22855,12242,14235,11590,21551,21805,2752,18835,14452
18328,12134,19523,8512,15647,17676,14198,19161,22348,37163,8946,19740,31947,50710,35207,37525,37235,51507,32599,42161,27673,23362,20356,22638,21262,11301,15213,12315,15031,18255,8584,14742
16698,16444,14379,13800,18762,11518,17132,22095,31222,9490,24268,37271,43755,44914,32925,36402,43864,39336,44697,37742,48247,32019,23616,17567,28035,26514,22783,14923,19740,15901,11627,13546
16299,13220,14669,10178,13727,17712,19958,30027,13184,39662,40749,39590,38358,46436,41183,49261,36656,44588,34736,47160,38974,29448,18110,15901,16444,26550,36692,19342,15394,21044,13365,13619
14959,16517,8656,14524,22457,25210,23471,5831,36945,48102,34482,42632,41075,43538,47558,41039,42125,40314,39553,20320,32816,21660,17929,14235,18110,17458,23652,33830,23833,13981,17350,11482
17820,13257,14959,20211,22855,27781,11880,37742,47088,39698,37235,37018,46291,42741,39445,47377,37561,43864,16444,21044,13474,30353,21080,14488,17531,13365,20211,26477,39771,17132,13474,18581
14959,15575,12242,16444,32526,14778,42198,45421,43502,44009,28180,36149,43683,41835,45421,38901,41980,24920,27455,9453,15865,20465,22240,18400,17458,26333,20428,18436,22058,28941,13583,14488
11482,16082,17096,32671,17313,38322,44914,41654,46110,42632,25789,26803,44226,46110,38431,43429,31802,19342,30969,26224,9634,24811,29339,12242,17965,25862,11880,17712,26514,27890,22529,9598
13872,14379,33613,15647,37561,46363,40278,46544,37923,45421,32019,28071,38793,44009,39083,30860,18110,12677,26260,20646,23797,37054,15756,13691,16625,9091,15901,9055,27854,37489,22783,13872
10359,28687,19342,34591,42306,44661,32925,33323,49587,37018,51651,12025,43683,38322,35569,27311,22095,20573,6193,19632,26296,24340,12061,17857,12894,17060,15683,17422,16227,38068,30534,13691
18110,19487,32454,34048,44480,43393,42994,26912,28578,48138,23362,19849,28361,24014,21443,30788,46399,41582,24811,9888,22167,10033,19269,13619,15176,20899,22819,13872,12749,21551,40242,16082
16372,29230,27564,43176,44262,43465,43212,36004,16879,17169,22131,28216,19523,34772,21805,26079,42342,44806,46834,25862,6121,17820,9816,17639,15357,22240,12786,19994,19559,30715,30100,22240
20247,21769,29520,42813,45023,40966,43212,45276,37054,16154,30100,38503,28035,34555,33287,24377,20392,28506,41220,29737,30498,17241,16661,15068,16372,17350,22602,17132,35497,34482,18835,20320
14524,26151,31766,45204,44516,43465,42379,44407,36801,17313,51217,43067,40133,25318,29448,37597,16879,14669,26695,48971,17422,52231,15285,17748,10938,19704,18472,16082,40640,37054,18509,24992
