10819,14578,10784,14754,14016,11698,6990,14367,14157,15878,15351,14473,24976,15316,22798,28700,14332,23009,20796,21393,20410,20374,18337,18829,11452,13419,15140,13103,16967,13068,8712,13805
14086,13278,15632,12400,12506,8606,19566,17424,16159,15210,20093,25995,21147,23712,43349,33267,41663,19215,34005,18653,22482,20339,24379,18583,13138,11908,12400,17494,13138,18864,10117,13946
13489,15105,17178,4566,15105,19040,13068,16124,22307,23606,26768,17845,25609,47178,30808,42155,30176,51569,31932,36674,20831,22763,14684,24976,17880,12787,14473,9484,16651,15491,13524,11241
11206,16299,2775,18723,19250,8395,15140,24309,22236,23220,20269,29016,45422,40258,36710,29930,47600,30246,45632,37026,46581,27962,25538,14297,24239,27646,18302,13208,10784,14719,16651,9168
16440,9203,17213,17599,6253,16721,17986,17915,22412,35515,34988,39204,36147,44895,35691,45141,35726,45105,29297,47424,32845,31265,13876,16440,10749,23817,35796,18723,11557,15140,8747,19672
10784,15316,14719,5831,17670,26276,15281,17845,32951,42400,34672,38852,43068,33267,49918,34672,48091,29051,45246,14613,28103,21042,18723,10784,20339,15316,21990,26311,24660,15491,12927,10011
13243,13138,11452,17459,24309,16721,23817,30913,43946,37869,34883,35656,41171,43314,33513,49567,32880,46475,8922,24766,7868,30632,14543,18091,13559,18934,16967,31089,26627,11943,20655,11417
11662,12224,16862,17986,20164,24063,38115,42717,39028,46370,23677,35269,40890,36218,45000,33548,48056,16581,25257,6463,14016,15983,24098,14297,15878,24695,19461,15878,24133,21042,8922,14965
11135,17213,23009,18126,21885,38536,43490,37623,42963,39274,23079,27260,41417,42541,31510,44579,26944,20866,30386,25152,5726,25925,22447,13735,15456,23044,12435,18337,20304,26522,14929,12260
7658,23641,23817,18442,34883,40504,37342,45632,35621,44333,28841,25222,44262,34426,42471,27400,22834,6815,28314,17178,18864,35515,18548,11873,17880,8079,16967,10082,26311,35199,18864,14543
17599,23009,20480,28981,43911,42506,35375,27330,45351,36253,44824,18442,32740,41522,31265,23712,20234,19215,5866,19426,22623,22728,11838,15000,9625,15808,7728,20339,13840,35234,28208,13068
