0,0,0,0,0,0,0,0,0,1,11,32,50,49,71,72,37,53,64,62,61,49,39,17,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,43,76,80,61,107,171,176,144,105,90,72,71,71,67,51,16,0,0,0,0,0,0,0
0,0,0,0,0,0,1,27,75,88,58,38,108,199,169,166,182,196,170,135,87,45,49,45,28,21,8,0,0,0,0,0
0,0,0,0,0,0,19,75,71,52,58,128,189,204,163,161,182,187,179,196,185,126,49,37,72,91,59,8,0,0,0,0
0,0,0,0,3,22,48,44,48,148,167,177,183,198,189,197,196,181,171,184,170,103,49,4,17,78,123,42,5,0,0,0
0,0,0,2,36,63,22,25,144,195,167,179,191,192,208,206,196,182,136,86,78,76,25,8,18,26,86,113,59,2,0,0
0,0,0,26,72,32,55,152,196,194,144,166,197,195,193,196,187,152,57,26,21,75,48,13,12,27,31,109,120,26,0,0
0,0,13,54,50,70,178,196,198,193,118,148,196,189,188,190,173,93,56,6,0,55,56,12,28,58,33,35,84,54,1,0
0,3,47,60,60,175,195,197,188,188,94,105,193,188,185,173,123,45,111,45,3,81,62,2,31,53,13,10,87,93,8,0
0,20,82,68,143,201,185,185,187,195,144,88,185,179,166,124,53,8,48,48,55,112,38,0,3,3,0,0,68,167,32,0
0,45,92,98,193,197,157,139,187,198,168,63,154,160,130,90,66,33,7,16,65,69,12,2,0,4,12,11,20,164,84,0
8,77,93,137,201,199,173,109,119,162,100,52,79,93,63,122,177,161,76,11,12,8,3,1,7,30,31,15,3,82,133,7
21,107,79,174,205,198,191,137,51,42,48,107,56,105,69,96,173,189,181,67,3,1,0,0,12,26,23,23,65,91,132,25
36,80,78,197,206,203,197,188,134,43,114,157,108,123,124,95,71,100,148,143,63,62,13,2,10,30,34,25,124,131,59,37
46,52,116,210,207,207,198,195,141,67,188,203,125,109,92,125,39,29,75,168,104,138,71,22,2,17,35,26,157,147,46,44
58,49,160,210,211,202,197,187,143,115,142,141,101,109,82,79,73,3,10,100,124,131,160,112,19,0,0,58,180,163,56,47
60,65,188,208,209,205,195,183,182,189,185,134,90,59,62,25,105,32,0,7,49,71,130,169,97,7,0,95,186,178,75,54
79,77,193,198,199,195,198,194,191,193,160,156,184,136,21,11,123,73,13,7,6,35,48,118,115,14,5,121,187,188,131,61
109,111,191,196,198,197,186,175,178,158,87,180,197,176,44,100,180,69,48,74,24,5,23,58,119,99,23,122,181,181,167,62
115,145,184,192,194,171,107,80,89,59,20,163,208,138,76,181,239,104,36,55,26,30,9,24,95,135,49,136,176,163,177,56
94,147,176,184,190,112,15,3,10,5,9,54,69,88,81,154,224,97,19,81,174,206,127,23,19,85,59,153,179,162,172,50
77,144,169,181,177,63,0,52,133,81,34,113,66,74,109,187,205,68,8,166,255,255,242,86,14,45,92,174,179,180,171,33
59,137,155,180,164,34,56,206,255,188,195,255,159,86,225,255,254,180,28,169,255,248,252,168,53,49,162,178,186,179,109,5
39,130,104,181,160,27,157,255,254,249,252,255,155,145,255,250,248,246,80,117,252,244,241,239,108,99,194,181,189,130,26,0
6,91,48,136,128,34,209,255,251,221,230,250,139,156,255,252,252,254,127,53,230,239,233,254,133,87,199,192,167,61,1,0
0,31,50,35,51,66,242,255,228,160,223,252,117,134,254,252,249,250,117,9,134,250,255,255,159,74,197,188,104,19,0,0
0,11,56,22,1,77,248,254,238,231,252,235,72,100,231,157,114,202,83,47,36,120,195,193,85,51,184,189,75,3,0,0
0,0,35,68,10,60,232,255,255,255,253,140,71,122,203,87,61,206,133,123,154,82,27,13,1,13,156,170,18,0,0,0
0,0,11,71,81,47,71,169,205,201,140,85,174,134,217,207,169,232,132,68,87,113,84,31,23,99,185,55,0,1,0,0
0,0,0,29,74,167,98,17,50,56,118,179,123,97,156,209,235,126,84,88,69,19,25,55,76,137,60,0,0,0,0,0
0,0,0,2,21,99,211,152,81,69,84,61,53,50,62,122,189,93,61,88,91,65,55,68,62,30,2,0,0,0,0,0
0,0,0,0,1,35,126,137,125,73,46,74,75,64,74,116,186,85,80,86,83,77,72,67,48,5,0,0,0,0,0,0
