0,0,0,0,0,0,0,7,33,52,59,97,78,54,65,66,61,49,23,1,0,0,0,0,0
0,0,0,0,0,2,32,69,71,63,141,175,172,155,122,81,58,57,41,10,2,0,0,0,0
0,0,0,0,1,39,77,61,60,144,201,163,169,192,182,179,122,54,47,66,51,6,0,0,0
0,0,0,5,29,46,52,139,164,185,195,189,196,185,173,179,132,51,9,44,112,46,3,0,0
0,0,3,45,44,33,140,192,162,190,194,205,199,181,110,63,71,41,9,18,55,116,56,0,0
0,0,30,57,62,162,199,187,131,189,192,190,190,137,48,8,35,57,14,30,35,68,87,12,0
0,16,57,64,169,198,192,178,86,174,190,184,160,72,86,17,42,67,8,47,31,17,96,35,0
1,50,78,142,196,177,187,193,108,150,181,155,85,15,43,39,96,46,0,4,1,0,110,99,0
10,78,102,191,192,136,158,190,103,95,136,101,108,90,24,20,50,12,1,7,20,12,42,136,16
33,98,128,204,197,155,75,74,73,66,84,69,152,193,140,23,0,1,0,22,26,20,48,123,47
50,71,161,207,202,191,135,50,139,120,119,110,88,99,153,105,56,20,2,20,31,33,137,86,45
51,69,193,209,204,198,151,90,189,143,109,95,89,19,72,144,126,102,31,4,21,46,172,86,43
54,101,208,210,202,189,167,158,156,103,82,66,77,33,4,66,97,149,133,25,0,82,188,108,49
68,124,205,201,198,195,191,193,158,158,113,19,61,91,9,5,29,65,137,64,1,113,191,149,69
107,146,198,197,192,172,170,137,112,206,168,57,153,109,48,51,6,17,69,118,44,119,182,176,87
117,161,189,192,129,53,51,28,54,162,119,97,222,145,33,62,83,48,26,96,76,134,173,170,86
98,157,181,177,53,7,62,37,37,58,74,104,200,108,22,181,248,209,47,27,76,159,178,175,72
83,141,178,157,29,123,236,176,205,192,93,221,252,186,46,209,253,250,139,35,125,179,186,148,28
59,105,150,147,55,230,255,249,255,198,149,255,250,249,93,165,249,240,221,81,175,187,172,56,0
11,61,66,86,99,253,242,191,238,183,142,255,255,255,117,80,240,246,243,92,169,191,107,10,0
0,36,32,9,130,255,237,217,253,144,107,231,163,201,92,33,120,214,203,66,153,182,53,0,0
0,11,61,19,103,245,255,255,211,87,123,185,66,174,134,123,111,52,21,4,123,152,10,0,0
0,0,41,86,79,81,143,144,115,157,140,216,206,203,116,74,73,65,36,79,152,39,0,0,0
0,0,6,44,159,129,56,68,119,86,66,104,193,128,69,91,60,37,63,76,32,0,0,0,0
0,0,0,3,74,158,128,68,50,71,61,76,160,113,75,87,80,71,66,30,0,0,0,0,0
